NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
I have . I feel lucky . I look forward to dealing with overseas companies and at the same time having a chance to use English more .,"Yes , please tell her that band practice has been moved to Tuesday night at eight thirty .",What ?s the problem ?,"I don't think you did , you know . My neighbor told me she saw some here only yesterday .",Yeah . All of us tried our best .,"Yes , I'm hungry . What types of food sound good ?",last one!!! but still not done!!! ,,,,,,,,,,,,
"of course I can . In fact , if there are other job opportunities at this new company , I'll recommend you personally .","No , but if she has any questions , she can call me at 555-2345 .",How much ?,"May I just have a look , to see if there is anything else ?",I think you're being a little naive .,I have a great idea of where you might like to go .,homework.... ...,,,,,,,,,,,,
What can I show you ?,Thank you . Bye .,What were you supposed to write it out for ?,"Yes , yes , I am sorry I won't keep you . It must get on your nerves when customers come in right at closing time . But they were such beautiful saucepans . I ?d have bought them if I had made up my mind on the spot .",That proves my point ! Protect yourself or you'll get burned .,It's on the second floor . May I join you ?,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby ...,,,,,,,,,,,,
"Let me check . Yes , we have .","Yes , a little .",I ?ll just cancel it for you right now .,"Oh , look ! That was the one there . That is the sort of thing I was looking for . But it's not quite the color .","$ 200 ? If they get a hold of your credit card number , you're going to be out a lot more than $ 200 ! I had a friend who ...",Let's hurry . I'm starving !,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ...,,,,,,,,,,,,
Sure . Let me help you .,I'm sorry . I can't quite follow you . Would you mind speaking slowly ?,"Would you like to take a look at the menu , sir ?","There it is . That is the pattern ! The set behind you . Thank goodness , they haven't been sold . And thank you so much for being so patient with me . Yes , those are the ones .",Your knowledge of English is really surprising .,I want to go traveling ., i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?...,,,,,,,,,,,,
"the James ?s file , Christine ?",I've a driver mate in my car !,Would you care for a drink before you order ?,"We have the offer ready for you . Let me check . 10 boxes with 50 brooches per box , at 20,000 yuan ; 20 boxes with 50 waistbands per box , at 30,000 yuan ; 15 boxes with other ornaments per box , at 7 , 500 yuan , for shipment in June . The offer is valid for five days .","No , seriously . I am impressed .","Yes , I've been thinking about Florida .","Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ...",,,,,,,,,,,,
"Christine , I know you ?re new here and there ?s a lot to learn , but you are going to have to learn to keep your work in better order . We can ?t afford to lose an important document .","Yes , it's so helpful .","Yes , sir . I'll bring it over . Have you decided what you'd like , sir ?",You know that the prices of the ornaments have been rising in recent years . The prices we offer this time compare favorably with quotations you can get else where .,Hello ?,"Sorry , I just worried about him . You know , he should be here an hour ago .","DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",,,,,,,,,,,,
I wonder whether I could possibly borrow your new bicycle now .,"Yes , I'm in a bit of a rush . Could I have a piece of apple pie please ?","I ?m taking BA fright 123 to London . Can you tell me where the reporting desk is , please ?","But you must take the design and quality into consideration . You know we are superior to others in design and quality . We have various styles , which the other companies cannot catch up with .",I was just watching TV . What's going on with you ?,But he still does not come back ., Im afraid too  ( ur reply about uni from ages ago,,,,,,,,,,,,
Thank you very much .,"No , thanks .",Thank you so much . Is this the desk for BA flight 123 to London ?,"Well , since your order is large enough , can you give me a rough idea ?",What did you watch ?,For almost two years .,feeling down ...,,,,,,,,,,,,
"Thanks for inviting me to work out with you , Joan .",Yes.Would tomorrow morning be all right with you ?,"The suitcase , that ?s all . Except my handbag . Of course .",Impossible . How about 5 % off ?,I remember that . It was a great movie . But it was definitely scary .,Thank you . But there's still a lot for me to learn ., lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,,,,,,,,,,,,
"Yeah , this place looks great . Wow , look at her , she can certainly get down , can't she ?",I'm afraid he's fully engaged.Could you make it another time ?,Is there a receipt ?,"Four is an unlucky number here , Peter.Four sounds like death in Chinese.Hotels often have no fourth floor .",Sure . I can come over . What should we do ?,Johnson ? I can't place them .," Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart....",,,,,,,,,,,,
"A little , I wish I could do that .",I'm just shopping .,What must I do next ?,"People don't usually tip here , but you can.Fifty dollars should be more enough .",Ok . I'll get ready and leave . I'll see you in about 20 minutes .,They've completely slipped my mind ., wonder if Jon lost the net...,,,,,,,,,,,,
"Look at him , he's buff .",Some new clothes . How about you ?,It's time for bed .,I ?d like to make a reservation for my trip from Detroit to Beijing on April 13 on Trans Pacific Airline .,"Don't worry , nothings going to happen . I'll be there real soon .","No , I don't recall a thing about them .",Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML...,,,,,,,,,,,,
How do they all get in such tiptop shape ?,Have you found anything nice yet ?,"It's already half past eleven . You have school tomorrow . You'll sleepy all tomorrow , if you don't sleep well tonight .",I ?d like to have a round trip ticket with a one-year open return .,are you a blogger ?,"Hmm , I must be getting absent-minded .",  But all says not in stock ,,,,,,,,,,,,
That's it . I decided to turn over a new leaf . I'm going to exercise every single day .,Where'd you get those ?,Don't you have the exams coming up soon ? I'm sure you could spend more time preparing for those .,"Economy , please . How much is it ?","oh , it seems that I'm the only one who never blogs . When did you get started ?",What a miser ! He cycles to school every day ., lmao im sorry poohpot i ate it all! ...,,,,,,,,,,,,
Excuse me . Check please .,Those are really cute .,"You do well in maths , but your history is not good enough . Am I right ?",Very good . Could I get an electronic ticket ? I ?m always afraid of losing my tickets .,what do you usually write about ?,I can't understand him anyway .,Any chance  Softbelly (for ) isn't loud? ,,,,,,,,,,,,
Very nice . Thank you .,I would like that . Thank you .,An excellent idea . Work now and play later .,Bank of American card . The number is 6786 9182 12300 8657 .,that's interesting . How often do you write a blog ?,He said he would tell us the secret of becoming a successful man .,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but I?m drool for some swimming,,,,,,,,,,,,
"Yes , can you put it in a plastic bag ?","Yes , speaking .","No , now it's bedtime .","An aisle seat , please . I ?m tall and need to get up and walk pretty often .",got it . Are you still updating your blog ?,"Nobody would drive him up a wall by asking him such a question , you know .",listening to nathan cry.... ...,,,,,,,,,,,,
Do you take credit cards ?,"No , I haven't got one by now . I will go to the interview of yours .","Yes , madam ? Can I help you ?",What time should I arrive at Detroit Airport ?,good for you . I know many people just leave their blogs alone after the first few months .,"hey , Isabelle ...",today sucked. I'm gonna die without chris and callum!  wahhh!,,,,,,,,,,,,
"OK , here you are .","Yes , of course . We could split it . What part would you like to do , the food or the entertainment ?","Well , yes , we are , madam . The shop shuts down in five minutes .",What happens if I can ?t leave on April 13 ? Can I cancel my ticket or change the reservation to another date ?,Have you found a new job yet ?,"yes , I am the guy ...","STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",,,,,,,,,,,,
OK .,Let's make sure we are on the same page . Do we want a formal or informal gathering ?,"Last week , madam ? I really can't remember which ones you mean . What were they like ?",That ?s OK . What are the weight restrictions for checked baggage ?,What kind of work ?,let me explain . I didn't mean to hurt you ...,...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,,,,,,,,,,,,
Thank you .,"Yes , that would be best . Now , for food should we have Chinese or American food ?",That's strange . I don't recognize any of the ones we had from that description . Are you sure they were in this shop ?,That ?s great ! I can have two bags checked for 70 pounds each . I think I ?m all set . You ?re really efficient . Thank you very much for your help .,What do you do there ?,"Well , I'd like to , but I am not sure I have time .",is in love with scrappy and is missin him already ,,,,,,,,,,,,
"You look upset , anything wrong ?","That would be great . What kind of music would you like , a band or recorded music ?","I am afraid the sales are over now , madam . And you know we all sold out of the saucepans .","Well , I ?ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week .",How long is the assignment ?,"All right , just a quick one .",wants to hear  's song but myspace is messing with me ,,,,,,,,,,,,
Why ?,That works for me . Let's see what we can each do about planning our part and meet again on Friday .,"Well , it's all new stock in the window now .",Fine . I ?ll bring both our office furniture and equipment catalogues on Thursday .,This is just for you . Cheers ! Bottoms up .,Certainly . Jackie Chan is a very famous movie star in Hong Kong . His Chinese name is Cheng Long .,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,,,,,,,,,,,,
You'd look before you leap .,What's the matter ?,"Eh , well , madam , as you know we are closing .",Thank you.But it is too bright for me .,"I'm sorry , ladies . Mr . Smith's viewing is over . It ended an hour ago .",OK . Then tell me what else you know ., Man... intervention is soo sad ,,,,,,,,,,,,
How long will you stay in New York ?,"Scrambled egg , bacon , three pieces of bread and a cup of tea .","Perhaps madam , if you come back tomorrow , I could show you the whole range of kitchen ware . And there are still one or two things at the sale price .",Let me try it on . I like that color .,"I'm afraid not . But at tomorrow's funeral , the family requested an open casket service .","He measures his worth by how many of his bones he has fractured while executing his film , incredible stunts . By the way , can you count the breaks ?",HELP! I need a new boyfriend... I'm stuck in a rut ...,,,,,,,,,,,,
"I am sorry . If you have here more than 24 hours between connecting flights , we can't check your luggage through London .","No , thank you .","That might be the artificial lighting , madam . Of course , if you could come back in daylight , you might find it ?s exactly what you are looking for .",But it is too loose.Do you have the smaller size ?,I'm sorry . I know it must have come as a great shock .,Indeed you know much about him .,I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me ,,,,,,,,,,,,
That's right . It's over there .,Over there .,I've come to hear about your offer .,What a pity !,I can ?t bear it . The driver is too bad .,"Oh , that's all right .",Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ...,,,,,,,,,,,,
Eat some more .,"Yeah , I really wanted that Chanel bag , too . But just in case you should bid low .",I can tell you right now that your prices are a little higher than we expected .,How much would you like to borrow ?,I prefer potatoes to eggplants .,"No , please don't . I couldn't let you do that .",Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  ,,,,,,,,,,,,
Excuse me . Do you know where the Admiral Hotel is ?,"I bid on a Chanel watch at the last minute , and got it sixty percent off !",I am afraid I can't agree with you there . I must point out your prices are higher than the quotations we've received from other companies .,Let me check with a credit manager . A record show your credit reading is quite high . I don't think you have any problems .,"But as a matter of fact , potatoes taste better .","Yes , what's it ?"," yes, it will be. it's only Monday ",,,,,,,,,,,,
"Yes , but I can't find Callaway Street .","Don't count on it , Babe . eBay is always full of surprises .",I agree that yours are of the top .,Our monthly interest is 1.5 % of the outstanding balance . Would you please fill out the application the form ?,That way they look longer .,It's miles per hour .,i want the new GG episode already ...,,,,,,,,,,,,
Thanks a lot .,Pots and pans are right over there .,"To have this business concluded , I should say a reduction of least 10 % would help .","When you flip the tie up , he's right side up . Brilliant .",Putting on mascara .,"Wait ! Look at that board , what's on it ?",I miss watching Rocko's Modern Life. ,,,,,,,,,,,,
I'm sorry I'm late .,Could I interest you in our store credit card ?,Right . A reduction of 5 % is acceptable .,I wouldn't mind having one myself ...,I won't .,Then we'd better not go .,RIP Sandra....its so sad    how can someone do something like that??...,,,,,,,,,,,,
"Professor Li , do you know where to buy art supplies ?",But our credit card saves you 10 percent .,So I'm on the fifth floor ? How come this hotel has no fourth floor .,OK !,Let's have some lunch ; do you know of a great restaurant somewhere ?,Not yet . I'm not finished with my research yet .,Keeping my fingers crossed for my buddy    He is not feeling well.,,,,,,,,,,,,
No . I can't paint . I'm asking for my niece . She is really into it .,Here . Let me give you an application form .,"I see.Oh , I know what I wanted to ask.How much should I tip this guy ?","I hope you can give me some advice . I'm sick and tired of coming here or to the post office to pay my utility bills . It's such a long way from my home , but I checked and you are my nearest branch . Is there anyway I can do it from home ?","Maybe just a quick sandwich , salad , or something .",Reading my fashion magazines ! How do you think I know so much about all the latest trends ?,Wait should I eat?? Or be skinny for vegas!! I'm hungry! ...,,,,,,,,,,,,
"She is eight . Actually , I'm buying a good set of art supplies for her as a birthday gift .",Okay . Enjoy your browsing .,Hello ! This is Ruby speaking from G . O . T . International Travel Agency . What can I do for you ?,A Direct Debit Service ? What's that exactly ?,Can we walk there ?,"Duh ... That's the point . The people in the ads are wearing what's in . Plus , there are articles on new trends ."," I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... ",,,,,,,,,,,,
Hello ?,"I'm allergic to these things , you know .",Do you want a single ticket or a round trip ticket ?,"But how will you know how much I should pay ? I mean , I receive my bills , not you .",Of course ! Let's go .,I think there ?s a Western on .," BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ...",,,,,,,,,,,,
"No , I ?m afraid not , Mary . May I take a message for her ?","Let ?s go over there and get some milk , a couple dozen eggs and some orange juice .",Economy or Business Class ?,"I see . So , that would mean that every month it would just come from my account ? That does sound like a good idea , totally trouble free .",What are you going to do next year ?,"Well , I really wanted to see the football game .",Sitting here wondering why &quot;ED&quot; still has such a strong hold on me ...,,,,,,,,,,,,
O . K . No problem . Anything else ?,OK . But just let me pick up a bottle of cooking wine and oil as we go by .,It will be $ 850 .,Hi . It ?s Tony calling from the dentist ?s office . Is Lily there ?,Do you have any where in mind ?,I believe there ?s a sitcom ., IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!,,,,,,,,,,,,
"All right , I ?ll leave her the message , Mary . Thanks for calling .",You are speaking with Professor Clark .,No problem . How do you wish to pay for it ?,Could you ask her to call me back when she gets in ?,"Like a cat on hot bricks , as you might say . I don ?t believe you are listening at all .",Let me look in the TV Guide first .," no Internet at home, have to drive into Ox to use Internet because of builders! ",,,,,,,,,,,,
Goodbye .,"Yes , how can I help you ?",Thank you ! Would you like an aisle seat or a window seat ?,519 367 8901 .,"Don ?t worry him , he has been grown up and I think he can take himself very well .","If I remember correctly , it's a quiz show .", the weather in Canada is freezing ...,,,,,,,,,,,,
Do you speak English ?,"Oh , my God ! I hope you are all right .",No problem . Your ticket is for Trans Pacific Flight 87 from Detroit to Beijing at 3 forty p . m . on April 13 . You will arrive at Beijing International Airport at six 35 p . m . on April 14 . Your electronic,Yes . I ?m Tony . Thank you very much .,Maybe he is on the way home now .,Let's watch it together .,twiggassssssss I been out of range all day  I'm back now and hopefully for good....,,,,,,,,,,,,
Can you tell me how to get to the Jade Buddha Temple ?,How much school will you miss ?,Please be at the airport two hours before your departure to check in . You also need to reconfirm your reservation with the airline at least 7 days prior to your departure .,Bye .,How long have you been in England ?,It was funny ., ...,,,,,,,,,,,,
How do you get road news ?,I appreciate you calling and telling me that you won ?t be in class . See you next week !,"Yes , you can , but you will have to pay a penalty of $ 75 for any change or cancellation .","I think it's great ! I really like the color , and it goes really well with your eyes . I've actually been eyeing that dress at Maxine's for a while now , but I wasn't sure I could afford ninety-five dollars for a dress at the moment .",Almost two years ? Your English is very good .,"Well , we drove through the valley on our way there in the morning . It was a magnificent sight .",anyone who reads this pray for my Grandma. She's in pain ...,,,,,,,,,,,,
So you have all the news on broadcast ?,Can ?t complain . And you ?,"On Trans Pacific international flights , each ticketed passenger is permitted a maximum of two checked bags with a maximum weight per checked bag of 70 pounds .","Yes , that's the price they were advertising it at . I was hoping it might go on sale soon . Why , how much did you pay for it ?","The Johnson are on their way back.You remember them , don't you ?","Sure , we wouldn't miss it for anything . After that , we took a short cut to the park . There was very little traffic , so we got there in less than an hour .","#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  ",,,,,,,,,,,,
Can I help you ?,Let me see . I can come out and see you first thing Wednesday .,Thank you for the compliment and for calling G . O . T . Travel Agency . Have a nice trip !,"Of course ! Everything at Helen's is overpriced , and they sell things that you can find at almost every other clothing store ! Why didn't you shop around ?",We met them in Bermuda last May .,We went for a swim in the sea . That was the best part of the day . Just look at my nice tan .,"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe.",,,,,,,,,,,,
Certainly . Would you like it with ice cream ?,You mean the network connection ?,I do want to meet with you and take a look at your catalogue . We ?re redecorating and are going to add some things .,I did . Why ?,"The couple with the dogs , think back .","Yes , you're right . And I was so tired that I fell asleep on the way back . My arms are still stiff from the swim yesterday .", hey! you just changed your default. ...,,,,,,,,,,,,
I'd like to make an appointment with Dr.Cooper.Could you arrange it for me ?,I have the same question . I can ?t send out mails . We ?d better call the IT department and ask them to check it immediately .,Let ?s put it down for 1:15 on Thursday . We ?ll definitely need some new filing cabinets and at least one desk unit .,"No , I didn't . I'm sorry . It won't happen again .","Well , I've invited them for brunch .",How do you know that ?,Finally gave in and was bored enough to start this thing. I think the 140 is going to be a problem for me tho.  its like a myspace status.,,,,,,,,,,,,
"Sorry , I've got a meeting from nine to ten.What about Monday afternoon ?","Dad , I have to do my homework .",That looks graceful on you .,"No , I don't suppose he's to blame.The man in the other car made a mistake .",His grandfather is the richest person in the area .,"Oh , I see . But I think you are making a fuss . They will make it up . Bet it ."," If oooonly we were really so lucky, eh? And awh  Definitely too early for work.",,,,,,,,,,,,
Hey ! What are you doing here ?,"Dad , I don't want to talk about it now .",How about this brown one ?,How to adjust ?,His grandfather's money is not his .,What do I do with it ?,buttload of homework! ,,,,,,,,,,,,
What are you shopping for ?,"I'm sorry , dad . But I would rather stay at school than go to cram school .","Ok , i will get one for your.Here you are .","Ah , some products are successful at home , but not be popular overseas .",What did he say ?,Please .,needs another copy of visual studio 2008 ,,,,,,,,,,,,
Same here .,"Doctor , I have a bad cough and a headache .","Sorry , it had been sold out .","Yes , sometimes the differences are great .","It ?s too good to be true ! If I were there , I would ask him if he himself was a successful man .",So I don't have to worry about them .,"why to we, the only school in the world, be in this week.My school is silly  anyway... look on the bright side. When i'm off, u will be in",,,,,,,,,,,,
I found a few pairs of pants .,"I don't know , but I feel terrible .",I ?d like to apply for a personal loan .,We have to ensure that the product should be attractive to guarantee sales .,"I wonder what he looks like . Oh , I can't wait to see him ! His email said he'd be wearing a white hat.oh , there he is .",I'll take home economics .,omg i've an economics test. and i dont know all the things i have to know and omg im gonna fail ...,,,,,,,,,,,,
I found them at JC Pennies .,Do you think I should lie in bed ?,A thousand dollars .,Watch your language .,Logan ! Why on earth are you hiding here ? White hat ! Come on ! Don't tell me you're the guy ! It can't be true .,But I ... I don't agree with thatbecause computers weaken kids'ability to thinkbecause kids don't learn basic skills .," Once upon a time Hundred Islands was the pride of Philippine tourism, but coral/clam/rare fish poaching did it in. Kinda sad ",,,,,,,,,,,,
Do you want me to show you where I found them ?,OK . Do you think I can play football tomorrow ?,What ?s the current interest rate ?,$ 10 per person .,what a bummer ! You set me up ?,"They can't spell , they can't add , they can't subtract , they even don't remember any more . that's because they rely on gadgets ."," yeah, apparently i have really bad taste ",,,,,,,,,,,,
"Hello , is that Xiaogang Li who applied for the Solar Studio of our college ?","OK , I'll listen to you .",And there's a little upside-down Dilbert on the underside .,Turn to the next window and they will help you find one .,We are just going round the corner for a drink . Won't you join us ?,"Yeah , what ?s up ?", I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out....,,,,,,,,,,,,
I want to know whether you will come to the interview . So have you accepted offers from other companies ?,What do you have in mind ?,My dad will love this . He's a Dilbert fan .,Where are you heading now ?,"Oh , come on ! Just a quick one !",Wow . I'd love to .,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,,,,,,,,,,,,
I need help with the office party .,What kind are you thinking of getting ?,Model it for me .,Is that the university next to the Teachers ' College ?,Excuse me Miao Li . Could you tell me who Jackie Chan is ?,When and where ?,i left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK,,,,,,,,,,,,
I have no idea what the entertainment should be .,What kind of pie do you want ?,Wow ! You look just as dorky as Dilbert !,You mean we'll share the taxi ?,"Ha , I know Cheng Long a lot , he has made 40 films since 1976 . And at that time he was promoted as the new Bruce Lee . But I'm not familiar with his English name .","Yes , I know . I appreciate your invitation .", i'm sorry I don't understand your last comment ...,,,,,,,,,,,,
Let's make it a formal affair .,Do you want to know what kind of pie I like ?,"Welcome . What can I do for you , Madam ?","Well.Don ' t worry about it , I will be happy to share the taxi with you .",Some movie stars measure their worth by how many millions of dollars they make . Do you know how Jackie Chan measures his worth ?,See you ., when is the announcement? i stayed up late last night ...,,,,,,,,,,,,
American food would be the best choice .,I love apple pie .,"That's terrible . Unfortunately , we don't have that many branches outside the centre of town . What I'd advise you to do is set up a Direct Debit Service .",My name is Liu Lichi . How do you do ?,"Sure . His skull , his eyes , his nose , three times , his jaw , his shoul-der , is chest , two fingers , a knee . As he said ' Everything from the top of my head to the bottom of my feet ! '",I'm pretty tired these days .," this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???...",,,,,,,,,,,,
We should bring in a really good DJ .,There you go . Problem solved .,"A Direct Debit means that every month we can arrange for all of your utility bills to come directly out of your account , no fuss , no hassle .","Quite good , I think . I came here by bus , and it took me about 15 minutes .",This is because he is the action-movie incarnate or action-star extraordinaire around the world .,"I have so much house work to do . I have to take care of the kids , cook , clean , laundry , and the cycle never ends .",ITS NOT ENOUGH TO SAY THAT IMISS U ...,,,,,,,,,,,,
Help ! Help !,I'll be with you in a minute .,"We set up an agreement with the , say , phone company . They tell us how much to pay them every month and we pay directly from your account . Of course , we are able to do this with all of the utilities companies .",Twenty .,"I'm sorry , but I can't find the book you lent me .",Not at all . He comes home and complains about his hard day at work . He expects me to do everything . He even wants me to feed him sometimes . Can you believe that ?,This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS ...,,,,,,,,,,,,
"What would you like to eat , sir ?",Yes . Do you exchange foreign money here ?,Hello .,"Yes , I'm student of grade 3 in the university majoring in economics .",I must apologize . I'll buy you a new one tomorrow .,"If he wasn't so lazy , I think I wouldn't have any complaints . He mows the lawn , but can you believe he tried to convince me to do it ?"," Jeez, I was just trying to help  Haha.",,,,,,,,,,,,
Would you care for some lemon for your tea ?,What kinds of currency do you change ?,"No , Lily is not here at the moment .","English , math , commercial and legal studies , and accountancy .",May I ask a question ?,Oh well . I'll have to live with it . What else can I do ?, that happened to me saturday night. along with my glittery green lighter! ...,,,,,,,,,,,,
Where's the toilet ?,Could you tell me what the exchange rate for USD is today ?,"Sure . What ?s your number , please .","Well , I worked at a supermarket during last summer holidays .",What does mph stand for ?,"Of course . It's the tradition game in winter , and with good reason . Don't you like watching it ?",trying to reduce the number of cigarettes in each day! ,,,,,,,,,,,,
Only one . But I wanted to make sure I'd get it .,I want to change some Us dollars to cover my expense here .,"Thanks . And your name is Tony , right ?","I like sports very much.Besides that , I also like working on a computer in my spare time .","Look , that bamboo groves are flourishing . Let's go and play there .","That's true . For various reasons , it takes more to hold a fierce game for Winter Olympics than it does for Summer Olympics . You know , the low temperature may cause many problems .",yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to ...,,,,,,,,,,,,
But there are only two more days until the bidding closes !,Thank you .,You ?re welcome . Bye .,I have passed the CET - 4 and 6.As far as computer is concerned I can use the computer for word processing .,' Please don't enter the bamboo groves . ' We're not allowed to go in .,"When the Olympic Games started in modern times , only summer events were included . When it grew popular , there came the Winter Olympic Games , which includes a variety of winter sports .",gotta do my cooking assignment  its too hard...,,,,,,,,,,,,
Oh ... I'm such a newbie . But at least I'm sure I'll get that tennis racket .,My name is Steven . I'm the Sales Manager of this company .,So what do you think of my new dress ?,It ?s too loud .,OK .,"Figure skating . In my eye , nothing beats it ."," okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never ",,,,,,,,,,,,
Well ... guess how low the bidding starts on the tennis racket ?,"Oh , I'm sorry about that .","Um , ninety-five dollars ?","Well , you know , those styles or colors don ?t suit me .",Are you ready to go shopping ?,"Oh , I didn't expect you to know them . But yes , I love them not only because of many medals they've won , but also because of many medals they've won , but also because of their spirits ."," I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here...",,,,,,,,,,,,
Can you tell me where the pots and pans are ?,"Don't worry , we'll soon fix them .",I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,"I want to buy a V-neck checked sweater , and it should be tight .",What research ?,I want to travel ., lol - nope! but i did have complete #camerafail ...,,,,,,,,,,,,
"Oh , thank you .",I'll certainly look into that .,"I don't know , I just saw the dress and thought about how pretty it looks and how much I wanted it . I guess I was too impulsive .",Quiet color .,But they're just ads .,The seaside .,  But! I'm useless if I don't sleep  It's not fair! I want all the fun as well!!!,,,,,,,,,,,,
"No , thanks . I already have credit cards .","Yes , sir . What price range do you have in mind ?",Who gave my dog this cooked chicken bone ?,Really ? Let ?s go there .,Is there anything worth watching on another channel ?,"I ?Ve been to Qingdao before , so I ?ll choose Dalian . I've heard that the environment there is very good .",My Pookie has a UTI.  I have to be Nurse Gabbie and get him back to 100%!!! No more sodas!!!!!!!!!!!!!!,,,,,,,,,,,,
That's a nice discount .,I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars .,Didn't you know dogs shouldn't eat cooked chicken bones because they're bad for their stomachs ?,Sure ! What do you feel like having ?,Do you mind if we watch it . I ?d really like to see it .,Thank you !, tweet something damn it!  and hang out with me please? ...,,,,,,,,,,,,
"Thank you , but I'm just browsing today .",We are having a sale now . The price has already gone down .,Is it Fred's fault ?,"Oh . OK . I don't eat meat , but that's fine , I am sure wherever we are going they will have other options right ?","Football game ? Ok , and you know what comes on next ?","No , thank you , Mrs . Carter . I'm fine for now .", ,,,,,,,,,,,,
Here is the fish counter . Look at the lobsters and crabs . Shall we have some ?,It's two hundred and eighty dollars .,But he's equally responsible because he tried to overtake you .,"I'm not , I am a vegan .",Are you interested in watching it ?,Thank you very much for your kindness .,"I'm SO behind in video games, and everything for that matter. I'm yesterday's news ",,,,,,,,,,,,
"Sorry , I forgot . I don ?t like seafood , neither .","Yes , I would like to buy a Walkman . Can you tell me about the models you have ?","In foreign trade , exporters have to adjust their product in a timely manner .","A vegan . I don't eat or use any animal based products . I don't wear leather , eat eggs , drink milk or anything that comes from an animal . I used to be a pescatarian before , which basically means you don't eat meat , but still have fish and seafood .","Oh , I am sorry . What's on Channel 2 at 10 pm ?","No , he left nothing ."," I did, it was the only one left but I got tempted and ate it soon as I got home  I had a chocolate velvet &amp; ate d mocha...",,,,,,,,,,,,
Let's get frozen juice . It is really good . We ?Ve got enough food . Let ?s go over to the check-out stand .,Mostly cassette tapes .,"Exporters must ensure that their product satisfies customers ' needs , wants and likes .","It's a bit difficult to find vegetarian friendly restaurants sometimes , but since more and more people are vegetarians or vegans nowadays , it's getting a bit less difficult .",Do you want to watch it ?,"Oh , I ?ll go to shanghai to practice there .",Is stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! ,,,,,,,,,,,,
"Good morning , may I speak with Professor Clark , please ?",Kreng ? I've never heard of that company .,"That's because the fashion , taste and social customs and so on vary considerably .",It wasn't all that great .,"Well , how did you enjoy your seaside trip ?","I think so , you know there is a great deal of opportunity for business there .", - I wanna wear my Doc Martens out! Haven't worn them since December. ...,,,,,,,,,,,,
"Professor , I am Kalina from your morning literature class .",I suppose I don't want that one then . I don't like auto-reverse . It breaks too easily .,"Well , we should be in accordance with national conditions and adjust the product .",I don't think that they had their act together . They didn't seem well prepared .,"Tell me about it , will you ?","I think it will be very useful in many ways . Beside , shanghai is an important trade center , not only in China , but also in the world , English is useful in almost all walks of life .",When to the shoe repair shop and the guy could not find my shoes!  So I have to go back and see if he can find them in a couple days. ,,,,,,,,,,,,
I ran my car into a tree yesterday and need to miss a few days of school .,"Yes , twice now . I think it's too high-tech , and so it's the first part that breaks .",I hate doing the damn laundry .,I wasn't all that impressed by the food .,Did you stop at the big waterfall for pictures ?,That ?s my wish ., I did not really see that coming ...,,,,,,,,,,,,
